item,name,party,partyLabel
Q7982050,Welshman Ncube,Q2582118,MDC
Q5232494,David Coltart,Q2582118,MDC
Q5458776,Fletcher Dulini,Q2582118,MDC
Q9358456,Thokozani Khuphe,Q2582118,MDC
,Milton Gwetu,Q2582118,MDC
Q5559396,Gibson Sibanda,Q2582118,MDC
,Jeffrey Khumalo,Q2582118,MDC
,Esaph Mdhlongwa,Q2582118,MDC
,Gilbert Shoko,Q2582118,MDC
Q5446764,Fidelis Mhashu,Q2582118,MDC
"",Edwin Mushoriwa,Q2582118,MDC
Q7245611,Priscilla Misihairambwi,Q2582118,MDC
,Paul Madzore,Q2582118,MDC
Q94034676,Mike Auret,Q2582118,MDC
Q7410395,Tendai Biti,Q2582118,MDC
Q7847292,Trudy Stevenson,Q2582118,MDC
,Gabriel Chaibva,Q2582118,MDC
,Tapiwa Mashakada,Q2582118,MDC
Q6937034,Munyaradzi Gwisai,Q2582118,MDC
,Willias Madzimure,Q2582118,MDC
Q6510240,Learnmore Jongwe,Q2582118,MDC
,Justin Mutendadzamera,Q2582118,MDC
,Tichaona Munyanyi,Q2582118,MDC
,Dunmore Makuvaza,Q2582118,MDC
Q7155466,Paurina Mpariwa,Q2582118,MDC
Q86997401,Job Sikhala,Q2582118,MDC
,Tafadzwa Musekiwa,Q2582118,MDC
,Kenneth Manyonda,Q1910161,ZANU–PF
,Kumbirai Kangai,Q1910161,ZANU–PF
Q3062672,Roy Bennett,Q2582118,MDC
,Messias Matewu,Q2582118,MDC
Q8023117,Wilson Khumbula,Q8071965,ZANU–Ndonga
,Shadreck Chipanga,Q1910161,ZANU–PF
Q5274292,Didymus Mutasa,Q1910161,ZANU–PF
Q14922135,Moven Mahachi,Q1910161,ZANU–PF
,Innocent Gonese,Q2582118,MDC
Q5561692,Giles Mutsekwa,Q2582118,MDC
,Sydney Mukwecheni,Q2582118,MDC
,Christopher Mushowe,Q1910161,ZANU–PF
Q5416378,Evelyn Masaiti,Q2582118,MDC
,Leonard Chirewamangu,Q2582118,MDC
Q4944569,Border Gezi,Q1910161,ZANU–PF
,Paul Mazikana,Q1910161,ZANU–PF
Q15992851,Edward Chindori-Chininga,Q1910161,ZANU–PF
,Chenhamo Chimutingwende,Q1910161,ZANU–PF
Q32534048,Christopher Kuruneri,Q1910161,ZANU–PF
Q981736,Joice Mujuru,Q1910161,ZANU–PF
Q7428343,Saviour Kasukuwere,Q1910161,ZANU–PF
,Nobbie Dzinzi,Q1910161,ZANU–PF
Q6505903,Lazarus Dokora,Q1910161,ZANU–PF
Q7025447,Nicholas Goche,Q1910161,ZANU–PF
Q5091407,Chenjerai Hunzvi,Q1910161,ZANU–PF
Q3133488,Herbert Murerwa,Q1910161,ZANU–PF
Q4687771,Aeneas Chigwedere,Q1910161,ZANU–PF
Q7660136,Sydney Sekeramayi,Q1910161,ZANU–PF
,Rufaro Gwanzura,Q1910161,ZANU–PF
,Ray Kaukonde,Q1910161,ZANU–PF
,Victor Chitongo,Q1910161,ZANU–PF
Q105071475,Joel Biggie Matiza,Q1910161,ZANU–PF
,David Chapfika,Q1910161,ZANU–PF
Q7088073,Olivia Muchena,Q1910161,ZANU–PF
,Bennie Tumbare-Mutasa,Q2582118,MDC
,Kenneth Mutiwekuziva,Q1910161,ZANU–PF
,Charles Ndlovu,Q1910161,ZANU–PF
Q7185645,Phillip Chiyangwa,Q1910161,ZANU–PF
Q7317489,Reuben Marumahoko,Q1910161,ZANU–PF
,Mark Madiro,Q1910161,ZANU–PF
,Austin Mupandawana,Q2582118,MDC
Q7152179,Paul Mangwana,Q1910161,ZANU–PF
,Zachariah Ziyambi,Q1910161,ZANU–PF
,Isaac Mackenzie,Q1910161,ZANU–PF
Q7659134,Swithun Mombeshora,Q1910161,ZANU–PF
,Hilda Mafudze,Q2582118,MDC
Q16151660,Ignatius Chombo,Q1910161,ZANU–PF
Q2209549,Sabina Mugabe,Q1910161,ZANU–PF
,Walter Mutsauri,Q1910161,ZANU–PF
,Amos Mutongi,Q2582118,MDC
,Elliot Chauke,Q1910161,ZANU–PF
,Aaron Baloyi,Q1910161,ZANU–PF
Q7412244,Samuel Mumbengegwi,Q1910161,ZANU–PF
,Charles Majange,Q1910161,ZANU–PF
Q2287723,Simon Muzenda,Q1910161,ZANU–PF
,Shuvai Mahofa,Q1910161,ZANU–PF
,Silas Man'ono,Q2582118,MDC
Q2112402,Stan Mudenge,Q1910161,ZANU–PF
Q5340334,Eddison Zvobgo,Q1910161,ZANU–PF
,Isaiah Shumba,Q1910161,ZANU–PF
Q7808439,Tinos Rusere,Q1910161,ZANU–PF
,Jefta Chindanya,Q1910161,ZANU–PF
Q6213465,Joel Gabuza,Q2582118,MDC
,Jacob Mabikwa,Q2582118,MDC
,Cephas Nyoni,Q2582118,MDC
,Jealous Sansole,Q2582118,MDC
,David Mpala,Q2582118,MDC
,Abednico Bhebhe,Q2582118,MDC
