item,name,party,partyLabel,constituency,constituencyLabel,startDate,endDate,gender,psid
Q107491736,Peter Haritatos,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,male,Q107491736-34817646-463D-4063-9D65-6C5CF60D8F41
Q111282888,Sabina Thembani,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,,Q111282888-529FD2C7-F28F-448D-B329-C6AEF2428E7D
Q111283548,Alice Chimbudzi,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,female,Q111283548-DB85978B-598E-4EA8-AD8D-D426A6FE1419
Q111283549,Alma Mkhwebu,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,female,Q111283549-938364F2-A62F-4DE3-AACC-E0EAA3439623
Q111283557,Dzikamai Mavhaire,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,male,Q111283557-6EA05E7E-A37E-433F-B9B3-897CE40BE428
Q111283584,Rosemary Goto,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,female,Q111283584-2BA34A3C-543E-4EAA-9995-D6A258985792
Q111283863,Tambudzani Mohadi,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,,Q111283863-7158BA63-2EC2-4CD6-A847-0E31E5DF47DF
Q111291748,Herbert Sinampande,Q2582118,,,,2005-04-12,2008-03-28,,Q111291748-26CFF8DB-EECF-4C31-9C65-74544FD3CF83
Q111291751,Joshua Teke Malinga,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,,Q111291751-BFB8CFDF-F259-46BD-BF41-F4C9AD1A6EEF
Q111295117,Shaddy Sai,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,,Q111295117-D7C3B011-A4AE-4476-B37E-0E71EEB5AB3F
Q111313041,Jefta Chindanya,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,,Q111313041-6B3348F8-ECAB-45B9-9674-85BAE2351678
Q111313199,Phone Madiro,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,,Q111313199-90E88DFA-6AA4-4225-9733-9632C75EDD69
Q111313735,Agnes Dete,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,,Q111313735-A9124119-C291-4167-8FC6-A5E64DA88FA3
Q111313751,Stanley Sakupwanya,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,,Q111313751-474D90E2-4867-44AB-80C6-195621A4E980
Q111313822,Ananias Nyathi,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,,Q111313822-6DECB7D7-4C1E-4036-8100-DA97D5F8D1D0
Q111313823,Anna Rungani,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,,Q111313823-3C596A13-7B13-4B43-B355-59E3F05727B5
Q111313824,Betty Chikava,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,,Q111313824-38A51862-D83D-44D6-88E8-D61C7C3C6D64
Q111313825,Cephas Chikwanha,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,,Q111313825-D7922A21-1324-41B5-A2CC-44EBCB94A7CB
Q111313826,Charles Tavengwa,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,,Q111313826-1D9AFA6F-EE6E-4AD9-9558-6A5C279A3FAB
Q111313827,Chiratidzo Gava,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,,Q111313827-EAA7CE29-6343-442F-97D9-4E3F5ADB63C0
Q111313828,Clarissa Muchengeti,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,,Q111313828-B5E8993C-BACB-4454-A829-8D306B05277F
Q111313829,Dalumuzi Khumalo,Q2582118,,,,2005-04-12,2008-03-28,,Q111313829-B92D9412-FAB7-4F39-9627-761C8015A849
Q111313830,Diamond Mumvuri,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,,Q111313830-ECF09D7D-6CD2-476E-AF41-50EC0DDCF6E7
Q111313832,Edmond Jacob,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,,Q111313832-07C81526-323F-4B42-94B2-A9B8625A0C57
Q111313833,Egneti Makono,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,,Q111313833-167527E4-82E1-4EAC-AE47-07317D8AD414
Q111313834,Eunice Sandi,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,,Q111313834-598201F5-E358-4688-81FE-2B0749E28C63
Q111313835,Fanuel Bayayi,Q2582118,,,,2005-04-12,2008-03-28,,Q111313835-56412A10-C56B-4AAB-BB33-B66E06FCC75A
Q111313836,Forbes Magadu,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,,Q111313836-303AC627-BBFD-4D7C-9B43-1E33A51216FE
