@@,item,name,party,partylabel
->,Q111313735->NULL,Agnes Dete,Q1910161,ZANU–PF
->,Q111283548->NULL,Alice Chimbudzi,Q1910161,ZANU–PF
->,Q111283549->NULL,Alma Mkhwebu,Q1910161,ZANU–PF
->,Q111313822->NULL,Ananias Nyathi,Q1910161,ZANU–PF
->,Q111313823->NULL,Anna Rungani,Q1910161,ZANU–PF
->,Q111313824->NULL,Betty Chikava,Q1910161,ZANU–PF
->,Q111313825->NULL,Cephas Chikwanha,Q1910161,ZANU–PF
->,Q111313826->NULL,Charles Tavengwa,Q1910161,ZANU–PF
->,Q111313827->NULL,Chiratidzo Gava,Q1910161,ZANU–PF
->,Q111313828->NULL,Clarissa Muchengeti,Q1910161,ZANU–PF
->,Q111313829->NULL,Dalumuzi Khumalo,Q2582118,NULL->MDC
->,Q111313830->NULL,Diamond Mumvuri,Q1910161,ZANU–PF
->,Q111283557->NULL,Dzikamai Mavhaire,Q1910161,ZANU–PF
->,Q111313832->NULL,Edmond Jacob,Q1910161,ZANU–PF
->,Q111313833->NULL,Egneti Makono,Q1910161,ZANU–PF
->,Q111313834->NULL,Eunice Sandi,Q1910161,ZANU–PF
->,Q111313835->NULL,Fanuel Bayayi,Q2582118,NULL->MDC
->,Q111313836->NULL,Forbes Magadu,Q1910161,ZANU–PF
->,Q111313837->NULL,Grace Dube,Q1910161,ZANU–PF
->,Q111313838->NULL,Greenfield Nyoni,Q2582118,NULL->MDC
->,Q111313839->NULL,Henry Chikumbiro,Q1910161,ZANU–PF
->,Q111291748->NULL,Herbert Sinampande,Q2582118,NULL->MDC
->,Q111313041->NULL,Jefta Chindanya,Q1910161,ZANU–PF
->,Q111313840->NULL,Josephine Moyo,Q1910161,ZANU–PF
->,Q111291751->NULL,Joshua Teke Malinga,Q1910161,ZANU–PF
->,Q111313841->NULL,Kantibhai Patel,Q1910161,ZANU–PF
->,Q111313842->NULL,Leonard Munotengwa,Q1910161,ZANU–PF
->,Q111313843->NULL,Livia Gumbura,Q1910161,ZANU–PF
->,Q111313844->NULL,Lot Mbambo,Q1910161,ZANU–PF
->,Q111313845->NULL,Mandy Chimene,Q1910161,ZANU–PF
->,Q111313846->NULL,Oria Kabayanjiri,Q1910161,ZANU–PF
->,Q107491736->NULL,Peter Haritatos,Q1910161,ZANU–PF
->,Q111313199->NULL,Phone Madiro,Q1910161,ZANU–PF
->,Q111313847->NULL,Richard Hove,Q1910161,ZANU–PF
->,Q111313848->NULL,Rittah Ndlovu,Q2582118,NULL->MDC
->,Q111283584->NULL,Rosemary Goto,Q1910161,ZANU–PF
->,Q111282888->NULL,Sabina Thembani,Q1910161,ZANU–PF
->,Q111295117->NULL,Shaddy Sai,Q1910161,ZANU–PF
->,Q111313849->NULL,Sheila Mahere,Q1910161,ZANU–PF
->,Q111313850->NULL,Sibangilizwe Msipa,Q2582118,NULL->MDC
->,Q111313851->NULL,Siriro Majuru,Q1910161,ZANU–PF
->,Q111313751->NULL,Stanley Sakupwanya,Q1910161,ZANU–PF
->,Q111313852->NULL,Stefano Mukusha,Q1910161,ZANU–PF
->,Q111283863->NULL,Tambudzani Mohadi,Q1910161,ZANU–PF
->,Q111313853->NULL,Tazvitya Mapfumo,Q1910161,ZANU–PF
->,Q111313854->NULL,Thabiso Ndlovu,Q2582118,NULL->MDC
->,Q111313855->NULL,Tobias Matanga,Q1910161,ZANU–PF
->,Q111313856->NULL,Tsitsi Muzenda,Q1910161,ZANU–PF
->,Q111313857->NULL,Virginia Muchengeti,Q1910161,ZANU–PF
->,Q111313858->NULL,Vivian Muchicho,Q1910161,ZANU–PF
