@@,item,itemlabel,party,partylabel
+++,,Abedinico Ncube,Q1910161,ZANU–PF
->,Q111281516->NULL,Abednico Bhebhe,Q1146616,MDC–T
---,Q111281517,Abednico Ncube,Q1910161,ZANU-PF
->,Q111281518->NULL,Abigail Damasane,Q1910161,ZANU-PF->ZANU–PF
->,Q111281519->NULL,Adam Chimwamurombe,Q1910161,ZANU-PF->ZANU–PF
->,Q111281520->NULL,Albert Mhlanga,Q1146616,MDC–T
->,Q111281521->NULL,Aldrin Musiiwa,Q1910161,ZANU-PF->ZANU–PF
->,Q111281522->NULL,Alexio Musundire,Q1146616,MDC–T
->,Q111281523->NULL,Alfred Mufunga,Q1910161,ZANU-PF->ZANU–PF
+++,,Alice Ndhlovu,Q1910161,ZANU–PF
---,Q4741842,Ambrose Mutinhiri,Q1910161,ZANU-PF
+++,,Amos Chibaya,Q1146616,MDC–T
->,Q4747917,Amos Midzi,Q1910161,ZANU-PF->ZANU–PF
->,Q111281606->NULL,Anastancia Ndhlovu,Q1910161,ZANU-PF->ZANU–PF
->,Q4757697,Andrew Langa,Q1910161,ZANU-PF->ZANU–PF
->,Q111281607->NULL,Anele Ndebele,Q1146616,MDC–T
+++,,Angeline Chipato,Q1910161,ZANU–PF
+++,,Annah Rungani,Q1910161,ZANU–PF
+++,,Annastazia Nyahino,Q1910161,ZANU–PF
---,Q111281608,Aqualina Katsande,Q1910161,ZANU-PF
+++,,Aqualinah Katsande,Q1910161,ZANU–PF
+++,,Bacillia Majaya,Q1146616,MDC–T
---,Q111281609,Batsirayi Pemhenayi,Q1910161,ZANU-PF
->,Q107534597,Bekithemba Mpofu,Q1910161,ZANU-PF->ZANU–PF
->,Q111281610->NULL,Bekithemba Nyathi,Q1146616,MDC–T
->,Q111281611->NULL,Berta Chikwama,Q1910161,ZANU-PF->ZANU–PF
---,Q111281612,Biata B. Nyamupinga,Q1910161,ZANU-PF
+++,,Biata Nyamupinga,Q1910161,ZANU–PF
---,Q111281613,Biggie J. Matiza,Q1910161,ZANU-PF
+++,,Biggie Joel Matiza,Q1910161,ZANU–PF
->,Q111281614->NULL,Blessed Runesu,Q1910161,ZANU-PF->ZANU–PF
+++,,Brian Tshuma,Q1146616,MDC–T
---,Q111281615,Cephas Sindi,Q1910161,ZANU-PF
---,Q111281616,Chenayimoyo D. Francis Nhema,Q1910161,ZANU-PF
+++,,Chiratidzo Mabuwa,Q1910161,ZANU–PF
->,Q5107550,Chris Mushohwe,Q1910161,ZANU-PF->ZANU–PF
+++,,Christina Nyere,Q1910161,ZANU–PF
->,Q111281617->NULL,Christopher Chigumba,Q1910161,ZANU-PF->ZANU–PF
->,Q93578158,Christopher Chingosho,Q1910161,ZANU-PF->ZANU–PF
->,Q111281618->NULL,Christopher Chitindi,Q1910161,ZANU-PF->ZANU–PF
->,Q32534048,Christopher Kuruneri,Q1910161,ZANU-PF->ZANU–PF
->,Q43266691,Christopher Mutsvangwa,Q1910161,ZANU-PF->ZANU–PF
->,Q111281619->NULL,Chriswell Mutematsaka,Q1910161,ZANU-PF->ZANU–PF
---,Q111281620,Chuma K. Bhasikiti,Q1910161,ZANU-PF
->,Q111281621->NULL,Clifford Sibanda,Q1910161,ZANU-PF->ZANU–PF
+++,,Concilia Chinanzvavana,Q1146616,MDC–T
+++,,Constance Tsomondo,Q1910161,ZANU–PF
->,Q111281622->NULL,Costa Machingauta,Q1146616,MDC–T
---,Q111281623,Daniel M. Ncube,Q1910161,ZANU-PF
+++,,Daniel Ncube,Q1910161,ZANU–PF
->,Q5218758,Daniel Shumba,Q1910161,ZANU-PF->ZANU–PF
+++,,Darlington Chiwa,Q1910161,ZANU–PF
->,Q5231960,David Butau,Q1910161,ZANU-PF->ZANU–PF
->,Q111281624->NULL,David Chapfika,Q1910161,ZANU-PF->ZANU–PF
->,Q111270219->NULL,Davis Marapira,Q1910161,ZANU-PF->ZANU–PF
->,Q111281625->NULL,Denford Masiya,Q1910161,ZANU-PF->ZANU–PF
+++,,Dexter Nduna,Q1910161,ZANU–PF
---,Q111281626,Dextor T. Nduna,Q1910161,ZANU-PF
---,Q5274292,Didymus Mutasa,Q1910161,ZANU-PF
->,Q111281627->NULL,Dingilizwe Tshuma,Q1146616,MDC–T
->,Q111281628->NULL,Dorcas Sibanda,Q1146616,MDC–T
+++,,Dorothy Kadungure,Q1910161,ZANU–PF
---,Q111281629,Dorothy Mangami,Q1910161,ZANU-PF
+++,,Dorothy Mashonganyika,Q1910161,ZANU–PF
+++,,Dorothy Ndlovu,Q1146616,MDC–T
->,Q5301822,Douglas Mombeshora,Q1910161,ZANU-PF->ZANU–PF
---,Q111281630,Dubeko Sibanda,Q1146616,MDC–T
->,Q111281631->NULL,Edgar Chidavaenzi,Q1910161,ZANU-PF->ZANU–PF
->,Q111281633->NULL,Edgar Mbwembwe,Q1910161,ZANU-PF->ZANU–PF
---,Q111281634,Edmond Mhere,Q1910161,ZANU-PF
->,Q111281635->NULL,Edson Gumbo,Q1910161,ZANU-PF->ZANU–PF
+++,,Elizabeth Shongedza,Q1910161,ZANU–PF
+++,,Emma Muzondiwa,Q1146616,MDC–T
->,Q510523,Emmerson Mnangagwa,Q1910161,ZANU-PF->ZANU–PF
->,Q111281636->NULL,Enock Porusingazi,Q1910161,ZANU-PF->ZANU–PF
+++,,Ephraim Gwanongodza,Q1910161,ZANU–PF
---,Q111281637,Ephraim Gwanonodza,Q1910161,ZANU-PF
->,Q111281638->NULL,Epmarcus Kanhanga,Q1910161,ZANU-PF->ZANU–PF
->,Q111281639->NULL,Erick Murai,Q1146616,MDC–T
+++,,Ester Chikuni,Q1910161,ZANU–PF
+++,,Eunice Moyo,Q1910161,ZANU–PF
->,Q111281640->NULL,Ezira Ruvai,Q1910161,ZANU-PF->ZANU–PF
+++,,Fani Munengami,Q1146616,MDC–T
->,Q111281641->NULL,Fani Phanuel Phiri,Q1910161,ZANU-PF->ZANU–PF
+++,,Fanny Chirisa,Q1146616,MDC–T
