@@,item,name,party,partylabel
->,Q111291734->NULL,Address Matirira,Q1910161,ZANU–PF
->,Q111283548->NULL,Alice Chimbudzi,Q1910161,ZANU–PF
->,Q111291735->NULL,Alice Dube,Q1910161,ZANU–PF
->,Q111291736->NULL,Alma Mkwebu,Q1910161,ZANU–PF
->,Q111291737->NULL,Angeline Tongogara,Q1910161,ZANU–PF
->,Q111291738->NULL,Annias Mapungwana,,
->,Q111291739->NULL,Aplonia Munzverengwi,Q1910161,ZANU–PF
->,Q107534597,Bekithemba Mpofu,Q85786782,NULL->MDC
->,Q111291740->NULL,Bybit Tsomondo,Q1910161,ZANU–PF
+++,,Chitanga,,
->,Q111291741->NULL,Christine Rambanepasi,Q85786782,NULL->MDC
+++,,Chundu,,
->,Q111291742->NULL,Clara Shumba,Q1910161,ZANU–PF
->,Q111291744->NULL,Douglas Mwonzora,Q85786782,NULL->MDC
->,Q5360562,Elias Mudzuri,Q85786782,NULL->MDC
->,Q106269407->NULL,Ellen Gwaradzimba,Q1910161,ZANU–PF
->,Q111291745->NULL,Esnath Rwambiwa,Q85786782,NULL->MDC
->,Q111283850->NULL,Fortune Charumbira,,
->,Q111291746->NULL,Gideon Shoko,Q85786782,NULL->MDC
->,Q111291747->NULL,Helen Zivira,Q85786782,NULL->MDC
->,Q111291748->NULL,Herbert Sinampande,Q85786782,NULL->MDC
->,Q111283563->NULL,Jane Chifamba,Q85786782,NULL->MDC
->,Q111291749->NULL,Josaya Hungwe,Q1910161,ZANU–PF
->,Q111291750->NULL,Joseph Madziva,Q1910161,ZANU–PF
->,Q111291751->NULL,Joshua Teke Malinga,Q1910161,ZANU–PF
->,Q111291752->NULL,Keresencia Chabuka,Q85786782,NULL->MDC
->,Q111291753->NULL,Kerina Gweshe,Q85786782,NULL->MDC
->,Q111291754->NULL,Langton Chikukwa,,
->,Q111291755->NULL,Larry Mavhima,Q1910161,ZANU–PF
->,Q111283569->NULL,Lilian Timveos,Q85786782,NULL->MDC
->,Q111281682->NULL,Lovemore Matuke,Q1910161,ZANU–PF
->,Q111283571->NULL,Martha Muronzi,Q85786782,NULL->MDC
+++,,Masendu,,
+++,,Mathuphula,,
+++,,Matsiwo,,
->,Q111291756->NULL,Maybe Mbowa,Q1910161,ZANU–PF
->,Q111291757->NULL,Meliwe Phuthi,Q85786782,NULL->MDC
->,Q111291758->NULL,Mildred Reason Dube,Q85786782,NULL->MDC
->,Q111283853->NULL,Milton Ntabeni,,
->,Q111291759->NULL,Molly Ndlovu,Q85786782,NULL->MDC
->,Q111291760->NULL,Monica Mavhunga,Q85786782,NULL->MDC
->,Q16136022,Morgan Femai,Q85786782,NULL->MDC
->,Q111291761->NULL,Morgan Komichi,Q85786782,NULL->MDC
->,Q111283854->NULL,Mtshane Khumalo,,
+++,,Nembire,,
+++,,Ngezi,,
+++,,Ngungubane,,
+++,,Nhema,,
->,Q111283857->NULL,Nkathazo Siansole,,
+++,,Nyangazonke,,
->,Q111291762->NULL,Oliver Chidawu,Q1910161,ZANU–PF
->,Q111291763->NULL,Ottillia Maluleke,Q1910161,ZANU–PF
->,Q111291764->NULL,Phyllis Ndlovu,Q85786782,NULL->MDC
->,Q20872132->NULL,Priscah Mupfumira,Q1910161,ZANU–PF
->,Q111291765->NULL,Rejoice Timire,Q1910161,ZANU–PF
->,Q111283585->NULL,Rosemary Nyathi,Q85786782,NULL->MDC
->,Q111291766->NULL,Shephered Chengeta Gundu,,
->,Q111291767->NULL,Sikelela Gumpo,Q1910161,ZANU–PF
->,Q111283588->NULL,Siphiwe Ncube,Q85786782,NULL->MDC
->,Q111291768->NULL,Spinani Hungwe,Q1910161,ZANU–PF
->,Q111291769->NULL,Tambudzani Moyo,Q1910161,ZANU–PF
->,Q111291770->NULL,Tapfumanei Wunganayi,Q85786782,NULL->MDC
->,Q111291771->NULL,Themba Mathuthu,Q1910161,ZANU–PF
->,Q111291772->NULL,Theresa Maonei Makone,Q85786782,NULL->MDC
+++,,Thokozile Mathuthu,Q1910161,ZANU–PF
->,Q111291774->NULL,Tichinani Mavetera,Q85786782,NULL->MDC
+++,,Tsitsi Muzenda,Q1910161,ZANU–PF
---,Q111283594,Tsitsi V. Muzenda,Q1910161,ZANU–PF
->,Q111283595->NULL,Violet Moeketsi,Q85786782,NULL->MDC
->,Q111291775->NULL,Voice Chinake,Q85786782,NULL->MDC
->,Q111291776->NULL,Watson Khupe,Q1910161,ZANU–PF
->,Q111291777->NULL,Witness Bungu,,
