@@,item,name,party,gender
->,Q111281516->NULL,Abednico Bhebhe,Q1146616,male
->,Q111281517->NULL,Abednico Ncube,Q1910161,male
->,Q111281518->NULL,Abigail Damasane,Q1910161,female
->,Q111281519->NULL,Adam Chimwamurombe,Q1910161,male
->,Q111281520->NULL,Albert Mhlanga,Q1146616,male
->,Q111281521->NULL,Aldrin Musiiwa,Q1910161,male
->,Q111281522->NULL,Alexio Musundire,Q1146616,male
->,Q111281523->NULL,Alfred Mufunga,Q1910161,male
->,Q4741842,Ambrose Mutinhiri,Q1910161,male
->,Q4747917,Amos Midzi,Q1910161,male
->,Q111281606->NULL,Anastancia Ndhlovu,Q1910161,female
->,Q4757697,Andrew Langa,Q1910161,male
->,Q111281607->NULL,Anele Ndebele,Q1146616,male
->,Q111281608->NULL,Aqualina Katsande,Q1910161,female
->,Q4795279,Arnold Tsunga,Q1146616,male
->,Q111281609->NULL,Batsirayi Pemhenayi,Q1910161,male
->,Q107534597->NULL,Bekithemba Mpofu,Q1910161,male
->,Q111281610->NULL,Bekithemba Nyathi,Q1146616,male
->,Q111281611->NULL,Berta Chikwama,Q1910161,female
->,Q111281612->NULL,Biata B. Nyamupinga,Q1910161,female
->,Q111281613->NULL,Biggie J. Matiza,Q1910161,male
->,Q111281614->NULL,Blessed Runesu,Q1910161,male
->,Q111281615->NULL,Cephas Sindi,Q1910161,male
->,Q111281616->NULL,Chenayimoyo D. Francis Nhema,Q1910161,male
->,Q5107550,Chris Mushohwe->Christopher Mushohwe,Q1910161,male
->,Q111281617->NULL,Christopher Chigumba,Q1910161,male
---,Q93578158,Christopher Chingosho,Q1910161,male
->,Q111281618->NULL,Christopher Chitindi,Q1910161,male
->,Q32534048,Christopher Kuruneri,Q1910161,male
->,Q43266691,Christopher Mutsvangwa,Q1910161,male
->,Q111281619->NULL,Chriswell Mutematsaka,Q1910161,male
->,Q111281620->NULL,Chuma K. Bhasikiti,Q1910161,male
->,Q111281621->NULL,Clifford Sibanda,Q1910161,male
->,Q111281622->NULL,Costa Machingauta,Q1146616,male
->,Q111281623->NULL,Daniel M. Ncube,Q1910161,male
->,Q5218758,Daniel Shumba,Q1910161,male
->,Q5231960,David Butau,Q1910161,male
->,Q111281624->NULL,David Chapfika,Q1910161,male
->,Q111270219->NULL,Davis Marapira,Q1910161,male
->,Q111281625->NULL,Denford Masiya,Q1910161,male
->,Q111281626->NULL,Dextor T. Nduna,Q1910161,male
->,Q5274292,Didymus Mutasa,Q1910161,male
->,Q111281627->NULL,Dingilizwe Tshuma,Q1146616,male
->,Q111281628->NULL,Dorcas Sibanda,Q1146616,female
->,Q111281629->NULL,Dorothy Mangami,Q1910161,female
---,Q5301822,Douglas Mombeshora,Q1910161,male
->,Q111281630->NULL,Dubeko Sibanda,Q1146616,male
---,Q5335953,Eddie Cross,Q1146616,male
->,Q111281631->NULL,Edgar Chidavaenzi,Q1910161,male
->,Q111281633->NULL,Edgar Mbwembwe,Q1910161,male
->,Q111281634->NULL,Edmond Mhere,Q1910161,male
->,Q111281635->NULL,Edson Gumbo,Q1910161,male
---,Q5360562,Elias Mudzuri,Q1146616,male
---,Q510523,Emmerson Mnangagwa,Q1910161,male
->,Q111281636->NULL,Enock Porusingazi,Q1910161,male
->,Q111281637->NULL,Ephraim Gwanonodza,Q1910161,male
->,Q111281638->NULL,Epmarcus Kanhanga,Q1910161,male
->,Q111281639->NULL,Erick Murai,Q1146616,male
->,Q111281640->NULL,Ezira Ruvai,Q1910161,male
->,Q111281641->NULL,Fani Phanuel Phiri,Q1910161,male
->,Q105649282->NULL,Felix Mhona,Q1910161,male
->,Q16195944,Fortune Chasi,Q1910161,male
->,Q111281642->NULL,Francis Muchenje,Q1910161,male
->,Q111281643->NULL,Francis Mukwangwariwa,Q1910161,male
->,Q111281644->NULL,Fred Moyo,Q1910161,male
->,Q111281645->NULL,Fungai J Majome,Q1146616,female
->,Q111281646->NULL,Getrude Chibagu,Q1910161,female
->,Q111281647->NULL,Getrude Hungwa,Q1910161,female
->,Q111281648->NULL,Gift Chimanikire,Q1146616,male
->,Q111281649->NULL,Gladys Mathe,Q1146616,female
->,Q1533788->NULL,Godfrey Beremauro,Q1910161,male
->,Q111281650->NULL,Godfrey Gandawa,Q1910161,male
->,Q111281651->NULL,Godfrey N Malaba,Q1910161,male
->,Q111281652->NULL,Godfrey Sithole,Q1146616,male
->,Q5584672,Gorden Moyo,Q1146616,male
->,Q111281653->NULL,Harris Ncube,Q1910161,male
->,Q111281654->NULL,Hazvineyi Z Makari,,
->,Q5927511,Hubert Nyanhongo,Q1910161,male
->,Q16151660,Ignatious Chombo->Ignatius Chombo,Q1910161,male
->,Q111281655->NULL,Innocent Gonese,Q1146616,male
->,Q111281656->NULL,Innocent Pedzisai,Q1910161,male
->,Q111281657->NULL,Irene Zindi,Q1910161,female
->,Q111281658->NULL,Iris Chiratidzo Mabuwa,Q1910161,female
->,Q111281659->NULL,Isaac Mackenzie,Q1910161,male
->,Q58007739,Jacob Mudenda,Q1910161,male
->,Q111281660->NULL,Jaison Passade,Q1910161,male
->,Q111281661->NULL,James Maridadi,Q1146616,male
->,Q111281662->NULL,Jeffrey Runzirwai,Q1910161,male
->,Q111281663->NULL,Jeppy Jaboon,Q1910161,male
---,Q6187759,Jessie Majome,Q1146616,female
->,Q111281664->NULL,John Holder,Q1910161,male
->,Q981736,Joice Mujuru,Q1910161,female
---,Q3183430,Jonathan Moyo,Q1910161,male
->,Q111281665->NULL,Jonathan Samukange,Q327591,male
->,Q6276249,Joram Gumbo,Q1910161,male
->,Q6282111,Joseph Chinotimba,Q1910161,male
->,Q6285211,Joseph Made,Q1910161,male
->,Q111281666->NULL,Joseph Mapiki,Q1910161,male
->,Q111281667->NULL,Joseph Tshuma,Q1910161,male
->,Q111281668->NULL,Josephat Madubeko,Q1910161,male
->,Q111281669->NULL,Josephine Value Chitembwe,Q1146616,female
->,Q111281670->NULL,Judith Muzhavazhe,Q1146616,female
->,Q111281671->NULL,Justice Mayor Wadyajena,Q1910161,male
->,Q111281672->NULL,Kalitso Gwanetsa,Q1910161,male
->,Q85850886->NULL,Kazembe Kazembe,Q1910161,male
---,Q6386891,Kembo Mohadi,,male
->,Q111281673->NULL,Kennedy Matimba,Q1910161,male
->,Q111281674->NULL,Kenneth S. Musanhi,Q1910161,male
->,Q111281675->NULL,Kindness Paradza,Q1910161,male
->,Q111281676->NULL,Kizito Chivamba,Q1910161,male
->,Q111281677->NULL,Kudzanayi Chipanga,Q1910161,male
->,Q111281678->NULL,Ladislus Ndoro,Q1910161,male
->,Q111281679->NULL,Lamson Moyo,Q1910161,male
->,Q111281680->NULL,Leonard Chikomba,Q1910161,male
->,Q111281681->NULL,Lilian Zemura,Q1910161,female
->,Q111281682->NULL,Lovemore Matuke,Q1910161,male
->,Q111281683->NULL,Lucia Matibenga,Q1146616,female
->,Q111281684->NULL,Luke Musamvu,Q1910161,male
->,Q111281685->NULL,Lungisani Nleya,Q1910161,male
->,Q111281687->NULL,Mabel Kaundikiza,Q1910161,female
->,Q111281688->NULL,Mabel Matirangano Nkatazo,Q1910161,female
->,Q93452160->NULL,Mable M. Chinomona,Q1910161,female
->,Q111281689->NULL,Madodana Sibanda,Q1910161,male
->,Q111281690->NULL,Mafios Vutete,Q1910161,male
->,Q111281691->NULL,Maideyi Mpala,Q1146616,female
->,Q111281692->NULL,Makhosini Hlongwane,Q1910161,male
->,Q111281693->NULL,Malach Nkomo,Q1910161,male
->,Q111281694->NULL,Mandi M. Chimene,Q1910161,female
->,Q111281695->NULL,Mapetere D. V. Mawere,Q1910161,male
->,Q111281696->NULL,Margaret Matienga,Q1146616,female
->,Q111281698->NULL,Martin Khumalo,Q1910161,male
->,Q97816798->NULL,Masango Matambanadzo,NULL->Q1910161,male
->,Q111281700->NULL,Mathias S. Ndlovu,Q1910161,male
->,Q111281701->NULL,Mathias Tongofa,Q1910161,male
->,Q111281702->NULL,Melenia Mahiya,Q1910161,female
->,Q111281704->NULL,Metrine Mdau,Q1910161,female
->,Q6828646,Michael Bimha,Q1910161,male
->,Q111281705->NULL,Michael Madanha,Q1910161,male
->,Q111281706->NULL,Mike Gava,Q1910161,male
->,Q111281707->NULL,Miriam Makweya,Q1910161,female
->,Q111281708->NULL,Monica Chigudu,Q1910161,female
->,Q111281709->NULL,Moses Manyengawana,Q1146616,male
->,Q111281710->NULL,Mthokozisi M. Mpofu,Q1910161,male
->,Q111281711->NULL,Mubvumbi Mawere,Q1910161,male
->,Q6935586,Munacho Mutezo,Q1910161,male
->,Q111281712->NULL,Munyaradzi Kereke,Q1910161,male
->,Q6938737,Murisi Zwizwai,Q1146616,male
->,Q16207702,Nelson Chamisa,Q1146616,male
->,Q111281713->NULL,Never Khanye,Q1910161,male
->,Q111281714->NULL,Newton Kachepa,Q1910161,male
->,Q7025447,Nicholas Goche,Q1910161,male
---,Q91165040,Nicola Watson,Q1146616,female
->,Q111281715->NULL,Nomathemba Ndlovu,Q1146616,female
->,Q111281716->NULL,Nomsa Jenifer Mlanga,Q1910161,female
->,Q111281717->NULL,Noveti Muponora,Q1910161,male
->,Q7070929,Nyasha Chikwinya,Q1910161,female
->,Q29588993,Obedingwa Mguni,Q1910161,male
---,Q2011278,Obert Mpofu,Q1910161,male
->,Q111281718->NULL,Oliver Mandipaka,Q1910161,male
->,Q111281719->NULL,Omega S Hungwe,Q1910161,male
->,Q7095508,Oppah Muchinguri,Q1910161,female
->,Q98112108->NULL,Owen Ncube,Q1910161,male
->,Q111281720->NULL,Paradzai Chakona,Q1910161,male
->,Q3369338,Patrick Chinamasa,Q1910161,male
->,Q7149825,Paul Chimedza,Q1910161,male
->,Q111281721->NULL,Paul Madzore,Q1146616,male
->,Q85678901->NULL,Paul Mavima,Q1910161,male
->,Q7155466,Paurina Mpariwa,Q1146616,female
->,Q107491736->NULL,Peter Haritatos,Q1910161,male
->,Q111281723->NULL,Peter Mataruse,Q1910161,male
->,Q111281724->NULL,Petronella Kagonye,Q1910161,female
->,Q111281725->NULL,Phelele Masuku,Q1146616,male
->,Q111281727->NULL,Phineas Chiota,Q1910161,male
->,Q111281728->NULL,Pius Madzinga,Q1910161,male
->,Q7245611,Priscilla Misihairabwi-Mushonga,Q15980776,female
->,Q111281729->NULL,Prosper Mutseyami,Q1146616,male
->,Q111281730->NULL,Psychology Mazivisa,Q1910161,male
->,Q111281731->NULL,Ray Kaukonde,Q1910161,male
->,Q111281732->NULL,Raymore Machingura,Q1910161,male
->,Q111281733->NULL,Reggie Moyo,Q1146616,male
->,Q7317489,Reuben Marumahoko,Q1910161,male
->,Q111281734->NULL,Robert Mukwena,Q1910161,male
->,Q111281735->NULL,Robson Mavenyengwa,Q1910161,male
->,Q111281736->NULL,Ronald Muderedzwa,Q1910161,male
->,Q111281737->NULL,Roselyn Nkomo,Q1146616,female
->,Q111281738->NULL,Rossy Mpofu,Q1910161,female
->,Q111281739->NULL,Sabbina Mangwende,Q1910161,female
->,Q111281740->NULL,Samson T. Mukanduri,Q1910161,male
->,Q7412644->NULL,Samuel Sipepa,Q1146616,male
->,Q7412813,Samuel Undenge,Q1910161,male
->,Q111281741->NULL,Sarah Mahoka,Q1910161,female
---,Q7428343,Saviour Kasukuwere,Q1910161,male
->,Q7456035,Sesel Zvidzai,Q1146616,male
->,Q111281742->NULL,Settlement Chikwinya,Q1146616,male
->,Q111281743->NULL,Shadreck Mashayamombe,Q1910161,male
->,Q111281744->NULL,Simbaneuta Mudarikwa,Q1910161,male
->,Q111281745->NULL,Simon Chidhakwa,Q1146616,male
